OriginalSort	Year-text	Year	title	consul	Unique	Ruler ID	wikipedia link	notes	
3160	387	387	Posterior	Eutropius	x				
1498	388	388	Prior	West: Merobaudes III? 	x		https://en.wikipedia.org/wiki/Merobaudes_(magister_peditum)		
1499	388	388	Prior	West: Magnus Maximus Augustus II	x				
1500	388	388	Prior	East: Theodosius Augustus II	xp		https://en.wikipedia.org/wiki/Maternus_Cynegius		
3161	388	388	Posterior	Unknown colleague?	n				
3163	388	388	Posterior	Maternus Cynegius	x				
1501	389	389	Prior	Timasius	x		https://en.wikipedia.org/wiki/Timasius		
3164	389	389	Posterior	Promotus	x				
1502	390	390	Prior	Valentinianus Augustus IV	n		https://en.wikipedia.org/wiki/Valentinian_II		
3165	390	390	Posterior	Neoterius	x				
1503	391	391	Prior	Eutolmius Tatianus	x		https://en.wikipedia.org/wiki/Eutolmius_Tatianus		
3166	391	391	Posterior	Q. Aurelius Symmachus	x				
1504	392	392	Prior	Arcadius Augustus II	n		https://en.wikipedia.org/wiki/Arcadius		
3167	392	392	Posterior	Rufinus	x				
1505	393	393	Prior	Theodosius Augustus III	x		https://en.wikipedia.org/wiki/Theodosius_I		
3168	393	393	Posterior	West: Eugenius Augustus	x				
3169	393	393	Posterior	East: Abundantius	x				
1507	394	394	Prior	West: Virius Nicomachus Flavianus	x		https://en.wikipedia.org/wiki/Virius_Nicomachus_Flavianus		
1508	394	394	Prior	East: Arcadius Augustus III	n		https://en.wikipedia.org/wiki/Honorius_(emperor)		
3170	394	394	Posterior	West: Virius Nicomachus Flavianus	x				
3171	394	394	Posterior	Honorius Augustus II	n				
1509	395	395	Prior	Anicius Hermogenianus Olybrius	x		https://en.wikipedia.org/wiki/Anicius_Hermogenianus_Olybrius		
3172	395	395	Posterior	Anicius Probinus	x				
1510	396	396	Prior	Arcadius Augustus IV	n		https://en.wikipedia.org/wiki/Arcadius		
3173	396	396	Posterior	Honorius Augustus III	n				
1511	397	397	Prior	Caesarius	x		https://en.wikipedia.org/wiki/Caesarius_(consul)		
3174	397	397	Posterior	Nonius Atticus	x				
1512	398	398	Prior	Honorius Augustus IV	n		https://en.wikipedia.org/wiki/Honorius_(emperor)		
3175	398	398	Posterior	Eutychianus	x				
1513	399	399	Prior	Mallius Theodorus (western)	x		https://en.wikipedia.org/wiki/Flavius_Mallius_Theodorus		
