rulerID	row	name	reign	sheet_birthdeath	born	died	source	status
2217	2189	T. Vinius (Rufinus?)	69–69		12	69	wikidata	OK
2218	2190	L. Pompeius Vopiscus	69–69					NO-DATE on wikidata
2219	2191	T. Flavius Sabinus						NO-DATE on wikidata
2220	2192	A. Marius Celsus	69–69			73	wikidata	OK died only
2221	2193	A. Caecina Alienus	69–69					NO-URL no title match
2222	2194	Rosius Regulus	69–69					NO-URL no title match
2223	2195	C. Quinctius Atticus	69–69					NO-URL no title match
2224	2196	C. Licinius Mucianus	70–72					NO-DATE on wikidata
2225	2197	M. Ulpius Traianus	70–70		30	100	wikidata	OK
2226	2198	(...)ne(...)	70–70					NO-DATE on wikidata
2227	2199	L. Annius Bassus	70–70					NO-DATE on wikidata
2229	2200	C. Laecanius Bassus Caecina Paetus	70–70					NO-DATE on wikidata
2230	2201	C. Calpetanus Rantius Quirinalis Valerius Festus	71–71					NO-DATE on wikidata
2231	2202	L. Flavius Fimbria	71–71					NO-URL no title match
2232	2203	Cn. Pompeius Collega	71–71					NO-DATE on wikidata
2234	2204	Cn. Pedius Cascus	71–71					NO-URL no title match
2235	2205	C. Atilius Barbarus	71–71					NO-URL no title match
2236	2206	Q. Julius Cordus	71–71					NO-DATE on wikidata
2237	2207	Q. Julius Cordinus C. Rutilius Gallicus	72–85		24	91	wikidata	OK
2238	2208	Sex. Marcius Priscus	72–72					NO-URL no title match
2239	2209	Cn. Pinarius Aemilius Cicatricula	72–72					NO-DATE on wikidata
2240	2210	M. Arrecinus Clemens	73–83					NO-DATE on wikidata
2241	2211	L. Valerius Catullus Messallinus	73–85					NO-DATE on wikidata
2243	2212	(...)on(...)	74–74					NO-DATE on wikidata
2244	2213	C. Pomponius	74–74					NO-DATE on wikidata
2245	2214	L. Manlius Patruinus	74–74					NO-URL no title match
3357	2215	L. Junius Q. Vibius Crispus	74–83					NO-DATE on wikidata
3367	2216	Q. Petillius Cerialis Caesius Rufus	74–74		30	83	wikidata	OK
2246	2217	L. Pasidienus Firmus	75–75					NO-URL no title match
2247	2218	Galeo Tettienus Petronianus	76–76					NO-URL no title match
2248	2219	M. Fulvius Gillo	76–76					NO-DATE on wikidata
3368	2220	(?) L. Tampius Flavianus						NO-DATE on wikidata
2249	2221	(?) L. Pompeius Vopiscus C. Arruntius Catellius Celer	77–77					NO-DATE on wikidata
2250	2222	Cn. Julius Agricola	77–77		40	93	wikidata	OK
2251	2223	(?) M. Arruntius Aquila	77–77					NO-DATE on wikidata
2252	2224	D. Junius Novius Priscus	78–78					NO-DATE on wikidata
2254	2225	Q. Corellius Rufus	78–78		31		wikidata	OK born only
2255	2226	L. Ceionius Commodus	78–136					NO-DATE on wikidata
2256	2227	Sex. Vitulasius Nepos	78–78					NO-URL no title match
2257	2228	L. Funisulanus Vettonianus	78–78			98	wikidata	OK died only
2258	2229	L. Junius Caesennius Paetus						NO-DATE on wikidata
2259	2230	T. Rubrius Aelius Nepos	79–79					NO-URL no title match
2260	2231	P. Calvisius Ruso						NO-URL no title match
2261	2232	M. Arrius Flaccus	79–79					NO-URL no title match
2262	2233	Q. Aurelius Pactumeius Fronto	80–80					NO-DATE on wikidata
2263	2234	C. Marius Marcellus Octavius P. Cluvius Rufus	80–80					NO-URL no title match
2264	2235	L. Acilius Strabo	80–80					NO-DATE on wikidata
2265	2236	M. Tittius Frugi	80–80					NO-URL no title match
2266	2237	L. Aelius Plautius Lamia Aelianus	80–80		45		wikidata	OK born only
2267	2238	Q. Pompeius Trio	80–80					NO-URL no title match
2268	2239	Sex. Neranius Capito	80–80					NO-URL no title match
2269	2240	M. Vinicius Julius Rufus	80–80					NO-URL no title match
3369	2241	A. Didius Gallus Fabricius Veiento	80–83					NO-DATE on wikidata
2270	2242	L. Flavius Silva Nonius Bassus	81–81		40	81	wikidata	OK
2271	2243	M. Roscius Coelius	81–81					NO-DATE on wikidata
2272	2244	L. Julius Vettius Paullus	81–81					NO-URL no title match
2273	2245	C. Scoedius Natta Pinarianus	81–81					NO-URL no title match
2274	2246	M. Petronius Umbrinus	81–81					NO-URL no title match
2275	2247	L. Turpilius Dexter	81–81					NO-URL no title match
2276	2248	M. Asinius Pollio Verrucosus	81–81					NO-URL no title match
2277	2249	C. Julius Juvenalis	81–81					NO-URL no title match
2278	2250	T. Junius Montanus	81–81					NO-DATE on wikidata
2279	2251	T. Tettienus Serenus	81–81			114	wikidata	OK died only
2280	2252	L. Carminius Lusitanicus	81–81					NO-URL no title match
2281	2253	M. Maecius Rufus	81–81					NO-URL no title match
2282	2254	(? Servaeus In)noc(ens)	82–82					NO-DATE on wikidata
2283	2255	(...)an(us)	82–82					NO-DATE on wikidata
2284	2256	(M. Mettius? Mo)dest(us)	82–82					NO-DATE on wikidata
2285	2257	P. Valerius Patruinus	82–82					NO-DATE on wikidata
2286	2258	M. Larcius Magnus Pompeius Silo	82–82					NO-QID
2287	2259	T. Flavius Sabinus	82–82			83	wikidata	OK died only
2288	2260	L. Salvius Otho Cocceianus	82–82					MISMATCH died 69 before reign end 82
2289	2261	M. Acilius Aviola	82–82					NO-DATE on wikidata
2290	2262	L. Antonius Saturninus	82–82			89	wikidata	OK died only
2291	2263	T. Aurelius Quietus	82–82					NO-URL no title match
2292	2264	L. Tettius Julianus	83–83		45		wikidata	OK born only
2293	2265	L. Calventius Sex. Carminius Vetus	83–83					NO-DATE on wikidata
2294	2266	(?) L. Baebius Honoratus	83–83					NO-DATE on wikidata
2295	2267	Terentius Strabo Erucius Homullus	83–83					NO-DATE on wikidata
2296	2268	M. Cornelius Nigrinus Curiatius Maternus	83–83		40		wikidata	OK born only
3361	2269	Q. Petillius Rufus	83–83					NO-URL no title match
2297	2270	(?) C. Fisius Sabinus	84–84					NO-URL no title match
2298	2271	C. Tullius Capito Pomponianus Plotius Firmus	84–84					NO-URL no title match
2299	2272	C. Oppius Sabinus	84–84			85	wikidata	OK died only
2300	2273	(?) M. Annius Messalla	84–84					NO-URL no title match
2301	2274	L. Julius Ursus	84–100					NO-DATE on wikidata
2302	2275	C. Cornelius Gallicanus	84–84					NO-DATE on wikidata
2303	2276	(P. Glitius? G)allus	84–84					NO-DATE on wikidata
2304	2277	L. Aelius Oculatus	85–85					NO-URL no title match
2305	2278	P. Herennius Pollio	85–85					NO-URL no title match
2306	2279	D. Aburius Bassus	85–85					NO-URL no title match
2307	2280	C. Salvius Liberalis Nonius Bassus	85–85					NO-DATE on wikidata
2308	2281	Q. Gavius Atticus	85–85					NO-URL no title match
2309	2282	M. Annius Herennius Pollio	85–85					NO-URL no title match
2310	2283	Q. Julius Balbus	85–129					NO-URL no title match
2311	2284	Cornelius Orestes	85–85					NO-URL no title match
2312	2285	C. Secius Campanus	86–86					NO-URL no title match
2313	2286	Sex. Octavius Fronto	86–86					NO-DATE on wikidata
